snpsht_dt,pid_pde,rank_pde,dor_cpt,dor_maj,yg,sex,age,job_code,married
3/31/2004,PDE01,CPT,2/1/2004,7/1/2008,2000,1,27,11A,0
6/30/2004,PDE01,CPT,2/1/2004,7/1/2008,2000,1,28,11A,0
9/30/2004,PDE01,CPT,2/1/2004,7/1/2008,2000,1,28,11A,0
12/31/2004,PDE01,CPT,2/1/2004,7/1/2008,2000,1,28,11A,0
3/31/2005,PDE01,CPT,2/1/2004,7/1/2008,2000,1,28,11A,0
6/30/2005,PDE01,CPT,2/1/2004,7/1/2008,2000,1,29,11A,0
9/30/2005,PDE01,CPT,2/1/2004,7/1/2008,2000,1,29,11A,0
12/31/2005,PDE01,CPT,2/1/2004,7/1/2008,2000,1,29,11A,0
3/31/2006,PDE01,CPT,2/1/2004,7/1/2008,2000,1,29,11A,0
6/30/2006,PDE01,CPT,2/1/2004,7/1/2008,2000,1,30,11A,0
9/30/2006,PDE01,CPT,2/1/2004,7/1/2008,2000,1,30,11A,0
12/31/2006,PDE01,CPT,2/1/2004,7/1/2008,2000,1,30,11A,0
3/31/2007,PDE01,CPT,2/1/2004,7/1/2008,2000,1,30,11A,0
6/30/2007,PDE01,CPT,2/1/2004,7/1/2008,2000,1,31,11A,0
9/30/2007,PDE01,CPT,2/1/2004,7/1/2008,2000,1,31,11A,0
12/31/2007,PDE01,CPT,2/1/2004,7/1/2008,2000,1,31,11A,1
3/31/2008,PDE01,CPT,2/1/2004,7/1/2008,2000,1,31,11A,1
6/30/2008,PDE01,CPT,2/1/2004,7/1/2008,2000,1,32,11A,1
9/30/2008,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,32,11A,1
12/31/2008,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,32,11A,1
3/31/2009,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,32,11A,1
6/30/2009,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,33,11A,1
9/30/2009,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,33,11A,1
12/31/2009,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,33,11A,1
3/31/2010,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,33,11A,1
6/30/2010,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,34,11A,1
9/30/2010,PDE01,MAJ,2/1/2004,7/1/2008,2000,1,34,11A,1
,,,,,,,,,
3/31/2001,PDE02,CPT,3/1/2001,4/1/2004,1997,1,27,11A,0
6/30/2001,PDE02,CPT,3/1/2001,4/1/2004,1997,1,28,11A,0
9/30/2001,PDE02,CPT,3/1/2001,4/1/2004,1997,1,28,11A,0
12/31/2001,PDE02,CPT,3/1/2001,4/1/2004,1997,1,28,11A,0
3/31/2002,PDE02,CPT,3/1/2001,4/1/2004,1997,1,28,11A,0
6/30/2002,PDE02,CPT,3/1/2001,4/1/2004,1997,1,29,11A,0
9/30/2002,PDE02,CPT,3/1/2001,4/1/2004,1997,1,29,11A,0
12/31/2002,PDE02,CPT,3/1/2001,4/1/2004,1997,1,29,11A,0
3/31/2003,PDE02,CPT,3/1/2001,4/1/2004,1997,1,29,11A,0
6/30/2003,PDE02,CPT,3/1/2001,4/1/2004,1997,1,30,11A,0
9/30/2003,PDE02,CPT,3/1/2001,4/1/2004,1997,1,30,11A,0
12/31/2003,PDE02,CPT,3/1/2001,4/1/2004,1997,1,30,11A,0
3/31/2004,PDE02,CPT,3/1/2001,4/1/2004,1997,1,30,11A,0
6/30/2004,PDE02,MAJ,3/1/2001,4/1/2004,1997,1,31,11A,0
9/30/2004,PDE02,MAJ,3/1/2001,4/1/2004,1997,1,31,11A,0
12/31/2004,PDE02,MAJ,3/1/2001,4/1/2004,1997,1,31,11A,0
3/31/2005,PDE02,MAJ,3/1/2001,4/1/2004,1997,1,31,11A,0
6/30/2005,PDE02,MAJ,3/1/2001,4/1/2004,1997,1,32,11A,0
9/30/2005,PDE02,MAJ,3/1/2001,4/1/2004,1997,1,32,11A,0
12/31/2005,PDE02,MAJ,3/1/2001,4/1/2004,1997,1,32,11A,0
3/31/2006,PDE02,MAJ,3/1/2001,4/1/2004,1997,1,32,11A,0
6/30/2006,PDE02,MAJ,3/1/2001,4/1/2004,1997,1,33,11A,0
9/30/2006,PDE02,MAJ,3/1/2001,4/1/2004,1997,1,33,11A,0
12/31/2006,PDE02,MAJ,3/1/2001,4/1/2004,1997,1,33,11A,0
3/31/2007,PDE02,MAJ,3/1/2001,4/1/2004,1997,1,33,11A,0
6/30/2007,PDE02,MAJ,3/1/2001,4/1/2004,1997,1,34,11A,0
9/30/2007,PDE02,MAJ,3/1/2001,4/1/2004,1997,1,34,11A,0
,,,,,,,,,
3/31/2001,PDE03,CPT,1/1/2001,2/1/2007,1997,1,33,11A,1
6/30/2001,PDE03,CPT,1/1/2001,2/1/2007,1997,1,34,11A,1
9/30/2001,PDE03,CPT,1/1/2001,2/1/2007,1997,1,34,11A,1
12/31/2001,PDE03,CPT,1/1/2001,2/1/2007,1997,1,34,11A,1
3/31/2002,PDE03,CPT,1/1/2001,2/1/2007,1997,1,34,11A,1
6/30/2002,PDE03,CPT,1/1/2001,2/1/2007,1997,1,35,11A,1
9/30/2002,PDE03,CPT,1/1/2001,2/1/2007,1997,1,35,11A,1
12/31/2002,PDE03,CPT,1/1/2001,2/1/2007,1997,1,35,11A,1
3/31/2003,PDE03,CPT,1/1/2001,2/1/2007,1997,1,35,11A,1
6/30/2003,PDE03,CPT,1/1/2001,2/1/2007,1997,1,36,11A,1
9/30/2003,PDE03,CPT,1/1/2001,2/1/2007,1997,1,36,11A,1
12/31/2003,PDE03,CPT,1/1/2001,2/1/2007,1997,1,36,11A,1
3/31/2004,PDE03,CPT,1/1/2001,2/1/2007,1997,1,36,11A,1
6/30/2004,PDE03,CPT,1/1/2001,2/1/2007,1997,1,37,11A,1
9/30/2004,PDE03,CPT,1/1/2001,2/1/2007,1997,1,37,11A,1
12/31/2004,PDE03,CPT,1/1/2001,2/1/2007,1997,1,37,11A,1
3/31/2005,PDE03,CPT,1/1/2001,2/1/2007,1997,1,37,11A,1
6/30/2005,PDE03,CPT,1/1/2001,2/1/2007,1997,1,38,11A,1
9/30/2005,PDE03,CPT,1/1/2001,2/1/2007,1997,1,38,11A,1
12/31/2005,PDE03,CPT,1/1/2001,2/1/2007,1997,1,38,11A,1
3/31/2006,PDE03,CPT,1/1/2001,2/1/2007,1997,1,38,11A,1
6/30/2006,PDE03,CPT,1/1/2001,2/1/2007,1997,1,39,11A,1
9/30/2006,PDE03,CPT,1/1/2001,2/1/2007,1997,1,39,11A,1
12/31/2006,PDE03,CPT,1/1/2001,2/1/2007,1997,1,39,11A,1
3/31/2007,PDE03,MAJ,1/1/2001,2/1/2007,1997,1,39,11A,1
6/30/2007,PDE03,MAJ,1/1/2001,2/1/2007,1997,1,40,11A,1
9/30/2007,PDE03,MAJ,1/1/2001,2/1/2007,1997,1,40,11A,1
,,,,,,,,,
3/31/2004,PDE04,CPT,2/1/2004,9/1/2008,2000,0,27,12A,0
6/30/2004,PDE04,CPT,2/1/2004,9/1/2008,2000,0,28,12A,0
9/30/2004,PDE04,CPT,2/1/2004,9/1/2008,2000,0,28,12A,0
12/31/2004,PDE04,CPT,2/1/2004,9/1/2008,2000,0,28,12A,0
3/31/2005,PDE04,CPT,2/1/2004,9/1/2008,2000,0,28,12A,0
6/30/2005,PDE04,CPT,2/1/2004,9/1/2008,2000,0,29,12A,1
9/30/2005,PDE04,CPT,2/1/2004,9/1/2008,2000,0,29,12A,1
12/31/2005,PDE04,CPT,2/1/2004,9/1/2008,2000,0,29,12A,1
3/31/2006,PDE04,CPT,2/1/2004,9/1/2008,2000,0,29,12A,1
6/30/2006,PDE04,CPT,2/1/2004,9/1/2008,2000,0,30,12A,1
9/30/2006,PDE04,CPT,2/1/2004,9/1/2008,2000,0,30,12A,1
12/31/2006,PDE04,CPT,2/1/2004,9/1/2008,2000,0,30,12A,1
3/31/2007,PDE04,CPT,2/1/2004,9/1/2008,2000,0,30,12A,1
6/30/2007,PDE04,CPT,2/1/2004,9/1/2008,2000,0,31,12A,1
9/30/2007,PDE04,CPT,2/1/2004,9/1/2008,2000,0,31,12A,1
12/31/2007,PDE04,CPT,2/1/2004,9/1/2008,2000,0,31,12A,1
3/31/2008,PDE04,CPT,2/1/2004,9/1/2008,2000,0,31,12A,1
6/30/2008,PDE04,CPT,2/1/2004,9/1/2008,2000,0,32,12A,1
9/30/2008,PDE04,MAJ,2/1/2004,9/1/2008,2000,0,32,12A,1
12/31/2008,PDE04,MAJ,2/1/2004,9/1/2008,2000,0,32,12A,1
3/31/2009,PDE04,MAJ,2/1/2004,9/1/2008,2000,0,32,12A,1
6/30/2009,PDE04,MAJ,2/1/2004,9/1/2008,2000,0,33,12A,1
9/30/2009,PDE04,MAJ,2/1/2004,9/1/2008,2000,0,33,12A,1
12/31/2009,PDE04,MAJ,2/1/2004,9/1/2008,2000,0,33,12A,1
3/31/2010,PDE04,MAJ,2/1/2004,9/1/2008,2000,0,33,12A,1
6/30/2010,PDE04,MAJ,2/1/2004,9/1/2008,2000,0,34,12A,1
9/30/2010,PDE04,MAJ,2/1/2004,9/1/2008,2000,0,34,12A,1
,,,,,,,,,
3/31/2001,PDE05,CPT,2/1/2001,4/1/2004,1998,0,24,12A,0
6/30/2001,PDE05,CPT,2/1/2001,4/1/2004,1998,0,25,12A,0
9/30/2001,PDE05,CPT,2/1/2001,4/1/2004,1998,0,25,12A,0
12/31/2001,PDE05,CPT,2/1/2001,4/1/2004,1998,0,25,12A,0
3/31/2002,PDE05,CPT,2/1/2001,4/1/2004,1998,0,25,12A,0
6/30/2002,PDE05,CPT,2/1/2001,4/1/2004,1998,0,26,12A,0
9/30/2002,PDE05,CPT,2/1/2001,4/1/2004,1998,0,26,12A,0
12/31/2002,PDE05,CPT,2/1/2001,4/1/2004,1998,0,26,12A,0
3/31/2003,PDE05,CPT,2/1/2001,4/1/2004,1998,0,26,12A,0
6/30/2003,PDE05,CPT,2/1/2001,4/1/2004,1998,0,27,12A,0
9/30/2003,PDE05,CPT,2/1/2001,4/1/2004,1998,0,27,12A,0
12/31/2003,PDE05,CPT,2/1/2001,4/1/2004,1998,0,27,12A,0
3/31/2004,PDE05,CPT,2/1/2001,4/1/2004,1998,0,27,12A,0
6/30/2004,PDE05,MAJ,2/1/2001,4/1/2004,1998,0,28,12A,0
9/30/2004,PDE05,MAJ,2/1/2001,4/1/2004,1998,0,28,12A,0
12/31/2004,PDE05,MAJ,2/1/2001,4/1/2004,1998,0,28,12A,0
3/31/2005,PDE05,MAJ,2/1/2001,4/1/2004,1998,0,28,12A,0
6/30/2005,PDE05,MAJ,2/1/2001,4/1/2004,1998,0,29,12A,0
9/30/2005,PDE05,MAJ,2/1/2001,4/1/2004,1998,0,29,12A,0
12/31/2005,PDE05,MAJ,2/1/2001,4/1/2004,1998,0,29,12A,1
3/31/2006,PDE05,MAJ,2/1/2001,4/1/2004,1998,0,29,12A,1
6/30/2006,PDE05,MAJ,2/1/2001,4/1/2004,1998,0,30,12A,1
9/30/2006,PDE05,MAJ,2/1/2001,4/1/2004,1998,0,30,12A,1
12/31/2006,PDE05,MAJ,2/1/2001,4/1/2004,1998,0,30,12A,1
3/31/2007,PDE05,MAJ,2/1/2001,4/1/2004,1998,0,30,12A,1
6/30/2007,PDE05,MAJ,2/1/2001,4/1/2004,1998,0,31,12A,1
9/30/2007,PDE05,MAJ,2/1/2001,4/1/2004,1998,0,31,12A,1
,,,,,,,,,
3/31/2001,PDE06,CPT,3/1/2001,8/1/2007,1997,1,27,11A,0
6/30/2001,PDE06,CPT,3/1/2001,8/1/2007,1997,1,28,11A,0
9/30/2001,PDE06,CPT,3/1/2001,8/1/2007,1997,1,28,11A,0
12/31/2001,PDE06,CPT,3/1/2001,8/1/2007,1997,1,28,11A,0
3/31/2002,PDE06,CPT,3/1/2001,8/1/2007,1997,1,28,11A,0
6/30/2002,PDE06,CPT,3/1/2001,8/1/2007,1997,1,29,11A,1
9/30/2002,PDE06,CPT,3/1/2001,8/1/2007,1997,1,29,11A,1
12/31/2002,PDE06,CPT,3/1/2001,8/1/2007,1997,1,29,11A,1
3/31/2003,PDE06,CPT,3/1/2001,8/1/2007,1997,1,29,11A,1
6/30/2003,PDE06,CPT,3/1/2001,8/1/2007,1997,1,30,11A,1
9/30/2003,PDE06,CPT,3/1/2001,8/1/2007,1997,1,30,11A,1
12/31/2003,PDE06,CPT,3/1/2001,8/1/2007,1997,1,30,11A,1
3/31/2004,PDE06,CPT,3/1/2001,8/1/2007,1997,1,30,35A,1
6/30/2004,PDE06,CPT,3/1/2001,8/1/2007,1997,1,31,35A,1
9/30/2004,PDE06,CPT,3/1/2001,8/1/2007,1997,1,31,35A,1
12/31/2004,PDE06,CPT,3/1/2001,8/1/2007,1997,1,31,35A,1
3/31/2005,PDE06,CPT,3/1/2001,8/1/2007,1997,1,31,35A,1
6/30/2005,PDE06,CPT,3/1/2001,8/1/2007,1997,1,32,35A,1
9/30/2005,PDE06,CPT,3/1/2001,8/1/2007,1997,1,32,35A,1
12/31/2005,PDE06,CPT,3/1/2001,8/1/2007,1997,1,32,35A,1
3/31/2006,PDE06,CPT,3/1/2001,8/1/2007,1997,1,32,35A,1
6/30/2006,PDE06,CPT,3/1/2001,8/1/2007,1997,1,33,35A,1
9/30/2006,PDE06,CPT,3/1/2001,8/1/2007,1997,1,33,35A,1
12/31/2006,PDE06,CPT,3/1/2001,8/1/2007,1997,1,33,35A,1
3/31/2007,PDE06,CPT,3/1/2001,8/1/2007,1997,1,33,35A,1
6/30/2007,PDE06,CPT,3/1/2001,8/1/2007,1997,1,34,35A,1
9/30/2007,PDE06,MAJ,3/1/2001,8/1/2007,1997,1,34,35A,1
,,,,,,,,,
3/31/2001,PDE07,CPT,3/1/2001,4/1/2005,1997,1,27,11A,0
6/30/2001,PDE07,CPT,3/1/2001,4/1/2005,1997,1,28,11A,0
9/30/2001,PDE07,CPT,3/1/2001,4/1/2005,1997,1,28,11A,0
12/31/2001,PDE07,CPT,3/1/2001,4/1/2005,1997,1,28,11A,0
3/31/2002,PDE07,CPT,3/1/2001,4/1/2005,1997,1,28,11A,0
6/30/2002,PDE07,CPT,3/1/2001,4/1/2005,1997,1,29,11A,0
9/30/2002,PDE07,CPT,3/1/2001,4/1/2005,1997,1,29,11A,0
12/31/2002,PDE07,CPT,3/1/2001,4/1/2005,1997,1,29,11A,0
3/31/2003,PDE07,CPT,3/1/2001,4/1/2005,1997,1,29,11A,0
6/30/2003,PDE07,CPT,3/1/2001,4/1/2005,1997,1,30,11A,0
9/30/2003,PDE07,CPT,3/1/2001,4/1/2005,1997,1,30,11A,0
12/31/2003,PDE07,CPT,3/1/2001,4/1/2005,1997,1,30,11A,0
3/31/2004,PDE07,CPT,3/1/2001,4/1/2005,1997,1,30,35A,0
6/30/2004,PDE07,CPT,3/1/2001,4/1/2005,1997,1,31,35A,0
9/30/2004,PDE07,CPT,3/1/2001,4/1/2005,1997,1,31,35A,0
12/31/2004,PDE07,CPT,3/1/2001,4/1/2005,1997,1,31,35A,0
3/31/2005,PDE07,CPT,3/1/2001,4/1/2005,1997,1,31,35A,1
6/30/2005,PDE07,MAJ,3/1/2001,4/1/2005,1997,1,32,35A,1
9/30/2005,PDE07,MAJ,3/1/2001,4/1/2005,1997,1,32,35A,1
12/31/2005,PDE07,MAJ,3/1/2001,4/1/2005,1997,1,32,35A,1
3/31/2006,PDE07,MAJ,3/1/2001,4/1/2005,1997,1,32,35A,1
6/30/2006,PDE07,MAJ,3/1/2001,4/1/2005,1997,1,33,35A,1
9/30/2006,PDE07,MAJ,3/1/2001,4/1/2005,1997,1,33,35A,1
12/31/2006,PDE07,MAJ,3/1/2001,4/1/2005,1997,1,33,35A,1
3/31/2007,PDE07,MAJ,3/1/2001,4/1/2005,1997,1,33,35A,1
6/30/2007,PDE07,MAJ,3/1/2001,4/1/2005,1997,1,34,35A,1
9/30/2007,PDE07,MAJ,3/1/2001,4/1/2005,1997,1,34,35A,1
,,,,,,,,,
3/31/2004,PDE08,CPT,2/1/2004,,2000,0,27,12A,0
6/30/2004,PDE08,CPT,2/1/2004,,2000,0,28,12A,0
9/30/2004,PDE08,CPT,2/1/2004,,2000,0,28,12A,0
12/31/2004,PDE08,CPT,2/1/2004,,2000,0,28,12A,0
3/31/2005,PDE08,CPT,2/1/2004,,2000,0,28,12A,0
6/30/2005,PDE08,CPT,2/1/2004,,2000,0,29,12A,1
9/30/2005,PDE08,CPT,2/1/2004,,2000,0,29,12A,1
12/31/2005,PDE08,CPT,2/1/2004,,2000,0,29,12A,1
3/31/2006,PDE08,CPT,2/1/2004,,2000,0,29,12A,1
6/30/2006,PDE08,CPT,2/1/2004,,2000,0,30,12A,1
9/30/2006,PDE08,CPT,2/1/2004,,2000,0,30,12A,1
12/31/2006,PDE08,CPT,2/1/2004,,2000,0,30,12A,1
3/31/2007,PDE08,CPT,2/1/2004,,2000,0,30,12A,1
,,,,,,,,,
3/31/2001,PDE09,CPT,1/1/2001,,1996,1,28,12A,0
6/30/2001,PDE09,CPT,1/1/2001,,1996,1,29,12A,0
9/30/2001,PDE09,CPT,1/1/2001,,1996,1,29,12A,0
12/31/2001,PDE09,CPT,1/1/2001,,1996,1,29,12A,0
3/31/2002,PDE09,CPT,1/1/2001,,1996,1,29,12A,0
6/30/2002,PDE09,CPT,1/1/2001,,1996,1,30,12A,0
9/30/2002,PDE09,CPT,1/1/2001,,1996,1,30,12A,0
12/31/2002,PDE09,CPT,1/1/2001,,1996,1,30,12A,0
3/31/2003,PDE09,CPT,1/1/2001,,1996,1,30,12A,0
6/30/2003,PDE09,CPT,1/1/2001,,1996,1,31,12A,0
9/30/2003,PDE09,CPT,1/1/2001,,1996,1,31,12A,0
12/31/2003,PDE09,CPT,1/1/2001,,1996,1,31,12A,0
3/31/2004,PDE09,CPT,1/1/2001,,1996,1,31,12A,0
6/30/2004,PDE09,CPT,1/1/2001,,1996,1,32,12A,0
9/30/2004,PDE09,CPT,1/1/2001,,1996,1,32,12A,0
12/31/2004,PDE09,CPT,1/1/2001,,1996,1,32,12A,0
3/31/2005,PDE09,CPT,1/1/2001,,1996,1,32,12A,1
6/30/2005,PDE09,CPT,1/1/2001,,1996,1,33,12A,1
9/30/2005,PDE09,CPT,1/1/2001,,1996,1,33,12A,1
12/31/2005,PDE09,CPT,1/1/2001,,1996,1,33,12A,1
3/31/2006,PDE09,CPT,1/1/2001,,1996,1,33,12A,1
6/30/2006,PDE09,CPT,1/1/2001,,1996,1,34,12A,1
9/30/2006,PDE09,CPT,1/1/2001,,1996,1,34,12A,1
12/31/2006,PDE09,CPT,1/1/2001,,1996,1,34,12A,1
3/31/2007,PDE09,CPT,1/1/2001,,1996,1,34,12A,1
6/30/2007,PDE09,CPT,1/1/2001,,1996,1,35,12A,1
9/30/2007,PDE09,CPT,1/1/2001,,1996,1,35,12A,1
,,,,,,,,,
3/31/2001,PDE10,CPT,2/1/2001,,1996,1,26,11A,0
6/30/2001,PDE10,CPT,2/1/2001,,1996,1,27,11A,0
9/30/2001,PDE10,CPT,2/1/2001,,1996,1,27,11A,0
12/31/2001,PDE10,CPT,2/1/2001,,1996,1,27,11A,0
3/31/2002,PDE10,CPT,2/1/2001,,1996,1,27,11A,0
6/30/2002,PDE10,CPT,2/1/2001,,1996,1,28,11A,0
9/30/2002,PDE10,CPT,2/1/2001,,1996,1,28,11A,0
12/31/2002,PDE10,CPT,2/1/2001,,1996,1,28,11A,0
3/31/2003,PDE10,CPT,2/1/2001,,1996,1,28,11A,0
6/30/2003,PDE10,CPT,2/1/2001,,1996,1,29,11A,0
9/30/2003,PDE10,CPT,2/1/2001,,1996,1,29,11A,0
12/31/2003,PDE10,CPT,2/1/2001,,1996,1,29,11A,0
3/31/2004,PDE10,CPT,2/1/2001,,1996,1,29,35A,0
6/30/2004,PDE10,CPT,2/1/2001,,1996,1,30,35A,0
9/30/2004,PDE10,CPT,2/1/2001,,1996,1,30,35A,0
12/31/2004,PDE10,CPT,2/1/2001,,1996,1,30,35A,0
,,,,,,,,,
3/31/2005,PDE11,CPT,3/1/2005,,2002,0,24,12A,0
6/30/2005,PDE11,CPT,3/1/2005,,2002,0,25,12A,0
9/30/2005,PDE11,CPT,3/1/2005,,2002,0,25,12A,0
12/31/2005,PDE11,CPT,3/1/2005,,2002,0,25,12A,0
3/31/2006,PDE11,CPT,3/1/2005,,2002,0,25,12A,0
6/30/2006,PDE11,CPT,3/1/2005,,2002,0,26,12A,0
9/30/2006,PDE11,CPT,3/1/2005,,2002,0,26,12A,0
12/31/2006,PDE11,CPT,3/1/2005,,2002,0,26,12A,0
3/31/2007,PDE11,CPT,3/1/2005,,2002,0,26,12A,0
6/30/2007,PDE11,CPT,3/1/2005,,2002,0,27,12A,0
9/30/2007,PDE11,CPT,3/1/2005,,2002,0,27,12A,0
12/31/2007,PDE11,CPT,3/1/2005,,2002,0,27,12A,0
3/31/2008,PDE11,CPT,3/1/2005,,2002,0,27,12A,0
,,,,,,,,,
3/31/2001,PDE12,CPT,3/1/2001,,1997,1,27,11A,1
6/30/2001,PDE12,CPT,3/1/2001,,1997,1,28,11A,1
9/30/2001,PDE12,CPT,3/1/2001,,1997,1,28,11A,1
12/31/2001,PDE12,CPT,3/1/2001,,1997,1,28,11A,1
3/31/2002,PDE12,CPT,3/1/2001,,1997,1,28,11A,1
6/30/2002,PDE12,CPT,3/1/2001,,1997,1,29,11A,1
9/30/2002,PDE12,CPT,3/1/2001,,1997,1,29,11A,1
12/31/2002,PDE12,CPT,3/1/2001,,1997,1,29,11A,1
3/31/2003,PDE12,CPT,3/1/2001,,1997,1,29,11A,1
6/30/2003,PDE12,CPT,3/1/2001,,1997,1,30,11A,1
9/30/2003,PDE12,CPT,3/1/2001,,1997,1,30,11A,1
12/31/2003,PDE12,CPT,3/1/2001,,1997,1,30,11A,1
3/31/2004,PDE12,CPT,3/1/2001,,1997,1,30,11A,1
6/30/2004,PDE12,CPT,3/1/2001,,1997,1,31,11A,1
9/30/2004,PDE12,CPT,3/1/2001,,1997,1,31,11A,1
12/31/2004,PDE12,CPT,3/1/2001,,1997,1,31,11A,1
3/31/2005,PDE12,CPT,3/1/2001,,1997,1,31,11A,1
6/30/2005,PDE12,CPT,3/1/2001,,1997,1,32,11A,1
9/30/2005,PDE12,CPT,3/1/2001,,1997,1,32,11A,1
12/31/2005,PDE12,CPT,3/1/2001,,1997,1,32,11A,1
3/31/2006,PDE12,CPT,3/1/2001,,1997,1,32,11A,1
6/30/2006,PDE12,CPT,3/1/2001,,1997,1,33,11A,1
9/30/2006,PDE12,CPT,3/1/2001,,1997,1,33,11A,1
12/31/2006,PDE12,CPT,3/1/2001,,1997,1,33,11A,1
3/31/2007,PDE12,CPT,3/1/2001,,1997,1,33,11A,1
6/30/2007,PDE12,CPT,3/1/2001,,1997,1,34,11A,1
9/30/2007,PDE12,CPT,3/1/2001,,1997,1,34,11A,1
,,,,,,,,,
3/31/2001,PDE13,CPT,2/1/2001,,1997,1,27,11A,0
6/30/2001,PDE13,CPT,2/1/2001,,1997,1,28,11A,0
9/30/2001,PDE13,CPT,2/1/2001,,1997,1,28,11A,0
12/31/2001,PDE13,CPT,2/1/2001,,1997,1,28,11A,0
3/31/2002,PDE13,CPT,2/1/2001,,1997,1,28,11A,0
6/30/2002,PDE13,CPT,2/1/2001,,1997,1,29,11A,0
9/30/2002,PDE13,CPT,2/1/2001,,1997,1,29,11A,0
12/31/2002,PDE13,CPT,2/1/2001,,1997,1,29,11A,0
3/31/2003,PDE13,CPT,2/1/2001,,1997,1,29,11A,0
6/30/2003,PDE13,CPT,2/1/2001,,1997,1,30,11A,0
9/30/2003,PDE13,CPT,2/1/2001,,1997,1,30,11A,0
12/31/2003,PDE13,CPT,2/1/2001,,1997,1,30,11A,0
3/31/2004,PDE13,CPT,2/1/2001,,1997,1,30,11A,0
6/30/2004,PDE13,CPT,2/1/2001,,1997,1,31,11A,0
,,,,,,,,,
3/31/2001,PDE14,CPT,2/1/2001,8/1/2004,1998,0,24,35A,0
6/30/2001,PDE14,CPT,2/1/2001,8/1/2004,1998,0,25,35A,0
9/30/2001,PDE05,CPT,2/1/2001,8/1/2004,1998,0,25,35A,0
12/31/2001,PDE05,CPT,2/1/2001,8/1/2004,1998,0,25,35A,0
3/31/2002,PDE05,CPT,2/1/2001,8/1/2004,1998,0,25,35A,0
6/30/2002,PDE05,CPT,2/1/2001,8/1/2004,1998,0,26,35A,0
9/30/2002,PDE05,CPT,2/1/2001,8/1/2004,1998,0,26,35A,0
12/31/2002,PDE05,CPT,2/1/2001,8/1/2004,1998,0,26,35A,0
3/31/2003,PDE05,CPT,2/1/2001,8/1/2004,1998,0,26,35A,0
6/30/2003,PDE05,CPT,2/1/2001,8/1/2004,1998,0,27,35A,0
9/30/2003,PDE05,CPT,2/1/2001,8/1/2004,1998,0,27,35A,0
12/31/2003,PDE05,CPT,2/1/2001,8/1/2004,1998,0,27,35A,0
3/31/2004,PDE05,CPT,2/1/2001,8/1/2004,1998,0,27,35A,0
6/30/2004,PDE05,CPT,2/1/2001,8/1/2004,1998,0,28,35A,0
9/30/2004,PDE05,MAJ,2/1/2001,8/1/2004,1998,0,28,35A,0
12/31/2004,PDE05,MAJ,2/1/2001,8/1/2004,1998,0,28,35A,0
3/31/2005,PDE05,MAJ,2/1/2001,8/1/2004,1998,0,28,35A,0
